FECHA_VENTA,DIA_COMERCIAL,CIUDAD,DEPARTAMENTO,TIPO,MARCA,VALOR_TOTAL
2021-06-02,0,MEDELLIN,ANTIOQUIA,TELEFONO,MOTOROLA,792520.0
2021-06-09,0,CARTAGENA,BOLIVAR,TELEFONO,MOTOROLA,688520.0
2021-06-03,0,MONTERIA,CORDOBA,TELEFONO,MOTOROLA,768520.0
2021-06-02,0,MOCOA,PUTUMAYO,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,ACACIAS,META,TELEFONO,APPLE,3049580.0
2021-06-02,0,FUSAGASUGA,CUNDINAMARCA,TELEFONO,SAMSUNG,1938570.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,LA CEJA,ANTIOQUIA,TELEFONO,MOTOROLA,768520.0
2021-06-03,0,BUCARAMANGA,SANTANDER,TELEFONO,MOTOROLA,792520.0
2021-06-02,0,NEIVA,HUILA,TELEFONO,VIVO,694520.0
2021-06-02,0,VALENCIA,CORDOBA,TELEFONO,XIAOMI,958520.0
2021-06-02,0,SABANA DE TORRES,SANTANDER,TELEFONO,SAMSUNG,1150571.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,VIVO,980520.0
2021-06-02,0,CUCUTA,NORTE DE SANTANDER,TELEFONO,SAMSUNG,581520.0
2021-06-02,0,POPAYAN,CAUCA,TELEFONO,XIAOMI,578520.0
2021-06-02,0,DOSQUEBRADAS,RISARALDA,TELEFONO,SAMSUNG,1359570.0
2021-06-02,0,NEIVA,HUILA,TELEFONO,XIAOMI,795520.0
2021-06-03,0,MALAMBO,ATLANTICO,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,2608570.0
2021-06-02,0,PEREIRA,RISARALDA,TELEFONO,XIAOMI,795520.0
2021-06-02,0,FUNDACION,MAGDALENA,TELEFONO,MOTOROLA,688520.0
2021-06-02,0,MEDINA,CUNDINAMARCA,TELEFONO,SAMSUNG,432520.0
2021-06-02,0,CURUMANI,CESAR,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,CALI,VALLE DEL CAUCA,TELEFONO,MOTOROLA,636520.0
2021-06-02,0,TUNJA,BOYACA,TELEFONO,APPLE,3664580.0
2021-06-02,0,LA PINTADA,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-02,0,CARTAGENA,BOLIVAR,TELEFONO,XIAOMI,795520.0
