cod_trans,cod_rest,fecha_trans,valor_trans,latitud,longitud,canal,medio,comision
0001082716-010401,115,2023-03-20,54800,3.3892473408077,-76.5278852172196,App,Android,6028.0
0001082966-010401,115,2023-03-20,29900,3.3710117340088,-76.509864213122,App,Ios,3289.0
KFCCO515059912,115,2023-03-20,47800,3.357787,-76.518532,Web,Web,4780.0
KFCCO114940508,115,2023-03-20,23900,3.357811,-76.518471,Web,Web,2390.0
0001083127-010401,115,2023-03-20,13800,3.3565636735625,-76.519294437021,App,Android,1518.0
0001083141-010401,115,2023-03-21,37800,3.375639515735868,-76.52811689302325,App,Android,4158.0
0000109715-074602,115,2023-03-20,39900,3.3805281,-76.5236457,CallCenter,CallCenter,3990.0
0001083388-010401,115,2023-03-21,24900,3.3577125499032,-76.5189995992298,App,Ios,2739.0
0000109824-074602,115,2023-03-21,21400,3.3798191,-76.5195465,CallCenter,CallCenter,2140.0
KFCCO834128504,115,2023-03-21,19900,3.38849,-76.536102,Web,Web,1990.0
0001083188-010401,115,2023-03-21,16900,3.375384,-76.5258652,App,Android,1859.0
0001083204-010401,115,2023-03-21,24900,3.3760375886395773,-76.51948346785058,App,Ios,2739.0
0001083461-010401,115,2023-03-21,50600,3.3751952,-76.5251587,App,Android,5566.0
0001083482-010401,115,2023-03-21,22900,3.3756395148401213,-76.52811689302325,App,Android,2519.0
KFCCO603716721,115,2023-03-21,49800,3.383184,-76.523613,Web,Web,4980.0
0001083654-010401,115,2023-03-21,24900,3.3566958828884,-76.5212034992874,App,Android,2739.0
0001083776-010401,115,2023-03-21,24900,3.3854934557319,-76.5279465727508,App,Android,2739.0
0001083557-010401,115,2023-03-21,32700,3.378667199999985,-76.51824830000001,App,Ios,3597.0
0000109893-074602,115,2023-03-21,19900,3.3830783,-76.5292244,CallCenter,CallCenter,1990.0
KFCCO005544220,115,2023-03-21,44800,3.388293,-76.534218,Web,Web,4480.0
23861820_tt,115,2023-03-21,17700,3.3724452,-76.5155699,TICTUK,TICTUK,2124.0
0001083651-010401,115,2023-03-21,29900,3.3793684,-76.5091863,App,Android,3289.0
0001084227-010401,115,2023-03-21,24900,3.3851360713718,-76.5293755196035,App,Android,2739.0
KFCCO850283019,115,2023-03-21,24900,3.375907,-76.520096,Web,Web,2490.0
23856000_tt,115,2023-03-21,20900,3.387079,-76.5197385,TICTUK,TICTUK,2508.0
0000109878-074602,115,2023-03-21,49900,3.3725525,-76.5235405,CallCenter,CallCenter,4990.0
KFCCO343645888,115,2023-03-21,39900,3.355851,-76.521759,Web,Web,3990.0
0001083910-010401,115,2023-03-21,24900,3.355729352943,-76.5152603946626,App,Android,2739.0
23860880_tt,115,2023-03-21,50700,3.3724452,-76.5155699,TICTUK,TICTUK,6084.0
0001084268-010401,115,2023-03-21,23900,3.371984356915372,-76.50697400145957,App,Ios,2629.0
0001084311-010401,115,2023-03-21,19900,3.3704376220703125,-76.50513687448921,App,Ios,2189.0
0001084315-010401,115,2023-03-21,30800,3.377416575637,-76.5074378219927,App,Ios,3388.0
0001084330-010401,115,2023-03-21,49900,3.3660714793254,-76.5197555403595,App,Ios,5489.0
0000109936-074602,115,2023-03-21,34900,3.3598642,-76.5182483,CallCenter,CallCenter,3490.0
KFCCO410396850,115,2023-03-21,54800,3.369376,-76.514809,Web,Web,5480.0
23867244_tt,115,2023-03-21,19900,3.3724452,-76.5155699,TICTUK,TICTUK,2388.0
KFCCO863842691,115,2023-03-21,24900,3.356592,-76.518814,Web,Web,2490.0
0000109946-074602,115,2023-03-21,29900,3.38671,-76.5359979,CallCenter,CallCenter,2990.0
KFCCO143750129,115,2023-03-22,58800,3.390293,-76.534721,Web,Web,5880.0
0000109963-074602,115,2023-03-22,39900,3.3648818,-76.5149058,CallCenter,CallCenter,3990.0
KFCCO814200064,115,2023-03-21,24900,3.383078,-76.529228,Web,Web,2490.0
0001084529-010401,115,2023-03-22,57600,3.3536987304688,-76.5226127302071,App,Ios,6336.0
0001084578-010401,115,2023-03-22,24900,3.3825426,-76.5186174,App,Android,2739.0
23876721_tt,115,2023-03-22,39900,3.3724452,-76.5155699,TICTUK,TICTUK,4788.0
0001084613-010401,115,2023-03-22,24900,3.3745226407443614,-76.524154599756,App,Android,2739.0
0001084648-010401,115,2023-03-22,49900,3.3989055063681666,-76.52121925726533,App,Android,5489.0
0001084697-010401,115,2023-03-22,24900,3.3825221409613,-76.5185813046992,App,Android,2739.0
0001084855-010401,115,2023-03-22,51800,3.3648813615444,-76.5149056725204,App,Android,5698.0
0001084705-010401,115,2023-03-22,24900,3.3812457,-76.5317386,App,Android,2739.0
0001085210-010401,115,2023-03-22,24900,3.3803539631221,-76.5225836919044,App,Ios,2739.0
0000110072-074602,115,2023-03-22,61900,3.3786672,-76.5182483,CallCenter,CallCenter,6190.0
23903641_tt,115,2023-03-22,42300,3.3762657,-76.5155916,TICTUK,TICTUK,5076.0
KFCCO581797990,115,2023-03-22,37900,3.368766,-76.518646,Web,Web,3790.0
0001085148-010401,115,2023-03-22,42900,3.3648818000000023,-76.5149058,App,Ios,4719.0
KFCCO478072357,115,2023-03-22,24900,3.357787,-76.518532,Web,Web,2490.0
KFCCO923296945,115,2023-03-22,43800,3.387345,-76.519089,Web,Web,4380.0
0000110107-074602,115,2023-03-22,19900,3.3700848,-76.5101104,CallCenter,CallCenter,1990.0
0001085436-010401,115,2023-03-22,19900,3.3819279819767,-76.517768205857,App,Ios,2189.0
0001085621-010401,115,2023-03-23,74700,3.3596542943794,-76.5184528939426,App,Android,8217.0
23919768_tt,115,2023-03-23,39900,3.3847653,-76.5283946,TICTUK,TICTUK,4788.0
KFCCO518339217,115,2023-03-23,24900,3.356592,-76.518814,Web,Web,2490.0
0000110200-074602,115,2023-03-23,29300,3.3876054,-76.5149544,CallCenter,CallCenter,2930.0
KFCCO139034743,115,2023-03-23,13800,3.353936,-76.522324,Web,Web,1380.0
0001086138-010401,115,2023-03-23,13800,3.3563075,-76.5180068,App,Android,1518.0
